,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1316,현대 제네시스 DH,101,209937,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,1.0,0.0,0.0,0.0,10.0,25687990,6.0,4051421,10990000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161589&gubun=K
1317,현대 제네시스 DH,96,138001,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,16990000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162515&gubun=K
1318,현대 제네시스 쿠페,179,162096,2,1998,흰색,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,6.0,7294210,4.0,3006120,5400000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163242&gubun=K
1319,현대 제네시스 DH,75,52401,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,19200000,41,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163736&gubun=K
1320,현대 제네시스 BH330,172,158000,2,3342,검정색,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,3.0,1277660,2.0,1186230,5700000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163374&gubun=K
1321,현대 제네시스 DH,104,59000,2,3342,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,586870,0.0,0,23000000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2126210&gubun=K
1322,현대 제네시스 DH,86,75018,2,3778,회색,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,0.0,0.0,0.0,0.0,6.0,14851783,2.0,10506116,21490000,37,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163702&gubun=K
1323,현대 제네시스 BH330,111,203488,2,3342,검정색,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,8900000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157197&gubun=K
1324,현대 제네시스 BH380,165,133570,2,3778,회색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,2.0,697550,1.0,120000,6900000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160809&gubun=K
1325,현대 제네시스 BH330,179,139000,2,3342,은색,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,3.0,3964790,0.0,0,4990000,12,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158678&gubun=K
1326,현대 제네시스 BH330,170,169999,2,3342,검정색,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,8.0,7433970,4.0,2746920,5500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158684&gubun=K
1327,현대 제네시스 BH330,171,129000,2,3342,검정색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,5.0,12046263,3.0,1016667,4500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160988&gubun=K
1328,현대 제네시스 BH380,150,118726,2,3778,검정색,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,7.0,6674066,2.0,965488,6500000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163598&gubun=K
1329,현대 제네시스 쿠페,140,108722,2,1998,진회색,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,1.0,405350,1.0,375400,5490000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153622&gubun=K
1330,현대 제네시스 ,115,52625,2,3778,은색,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,2.0,869708,2.0,677982,9690000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153623&gubun=K
1331,현대 제네시스 쿠페,178,70617,2,1998,빨간색,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,3.0,1423635,2.0,1076580,4900000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160551&gubun=K
1332,현대 제네시스 DH,96,84182,2,3778,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,13144729,3.0,4767298,19900000,34,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162923&gubun=K
1333,현대 제네시스 DH,97,154770,2,3342,검정색,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,8.0,0.0,0.0,0.0,0.0,9.0,16780752,7.0,17672100,15500000,29,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162948&gubun=K
1334,현대 제네시스 DH,74,87127,2,3342,갈색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1227493,0.0,0,22990000,42,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147855&gubun=K
1335,현대 제네시스 DH,90,133721,2,3342,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22990000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162521&gubun=K
1336,현대 제네시스 DH,101,209937,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,1.0,0.0,0.0,0.0,10.0,25687990,6.0,4051421,10990000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161589&gubun=K
1337,현대 제네시스 DH,96,138001,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,16990000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162515&gubun=K
1338,현대 제네시스 쿠페,179,162096,2,1998,흰색,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,6.0,7294210,4.0,3006120,5400000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163242&gubun=K
1339,현대 제네시스 DH,75,52401,2,3342,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,19200000,41,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163736&gubun=K
1340,현대 제네시스 BH330,172,158000,2,3342,검정색,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,3.0,1277660,2.0,1186230,5700000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163374&gubun=K
1341,현대 제네시스 DH,104,59000,2,3342,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,586870,0.0,0,23000000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2126210&gubun=K
1342,현대 제네시스 DH,86,75018,2,3778,회색,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,0.0,0.0,0.0,0.0,6.0,14851783,2.0,10506116,21490000,37,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163702&gubun=K
1343,현대 제네시스 BH330,111,203488,2,3342,검정색,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,8900000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157197&gubun=K
1344,현대 제네시스 BH380,165,133570,2,3778,회색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,2.0,697550,1.0,120000,6900000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160809&gubun=K
1345,현대 제네시스 BH330,179,139000,2,3342,은색,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,3.0,3964790,0.0,0,4990000,12,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158678&gubun=K
1346,현대 제네시스 BH330,170,169999,2,3342,검정색,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,8.0,7433970,4.0,2746920,5500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158684&gubun=K
1347,현대 제네시스 BH330,171,129000,2,3342,검정색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,5.0,12046263,3.0,1016667,4500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160988&gubun=K
1348,현대 제네시스 BH380,150,118726,2,3778,검정색,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,7.0,6674066,2.0,965488,6500000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163598&gubun=K
1349,현대 제네시스 쿠페,140,108722,2,1998,진회색,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,1.0,405350,1.0,375400,5490000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153622&gubun=K
1350,현대 제네시스 ,115,52625,2,3778,은색,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,2.0,869708,2.0,677982,9690000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153623&gubun=K
1351,현대 제네시스 쿠페,178,70617,2,1998,빨간색,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,3.0,1423635,2.0,1076580,4900000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160551&gubun=K
1352,현대 제네시스 DH,96,84182,2,3778,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,13144729,3.0,4767298,19900000,34,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162923&gubun=K
